lon,lat,residents,age_0_24,age_25_64,dwellings
-8.389495,41.432311,76,7,47,33
-8.313529,41.431832,72,16,40,26
-8.34397,41.432613,75,11,36,29
-8.346263,41.433573,59,25,30,18
-8.359309,41.43369,75,22,44,24
-8.402031,41.432619,101,30,62,29
-8.349701,41.431579,83,12,43,37
-8.266218,41.432033,36,14,18,9
-8.343817,41.428271,14,4,8,6
-8.359674,41.428612,194,48,109,73
-8.303641,41.430629,32,5,17,13
-8.305252,41.430133,56,12,33,20
-8.345901,41.430168,215,39,126,90
-8.383379,41.442633,80,30,46,26
-8.313476,41.443416,61,13,35,21
-8.36914,41.441261,0,0,0,0
-8.348498,41.441388,48,10,30,18
-8.320489,41.443604,81,30,45,24
-8.342937,41.441512,64,14,35,20
-8.317609,41.442759,46,3,30,23
-8.308073,41.444308,34,5,17,12
-8.300951,41.448736,281,74,160,114
-8.339499,41.448514,68,17,35,22
-8.333551,41.446469,87,19,47,31
-8.348689,41.448544,28,6,16,11
-8.345248,41.448214,103,23,69,33
-8.379368,41.448425,0,0,0,0
-8.346407,41.448742,73,15,43,27
-8.306687,41.448477,328,91,199,133
-8.397584,41.485676,0,0,0,0
-8.324307,41.489138,48,10,28,20
-8.346948,41.489567,203,52,121,74
-8.259411,41.489153,34,5,16,15
-8.257802,41.489615,62,15,39,23
-8.355426,41.489309,107,10,61,46
-8.341035,41.490044,62,14,31,22
-8.303236,41.488946,5,2,3,2
-8.294859,41.490368,52,16,29,17
-8.227006,41.488544,7,2,4,2
-8.310535,41.458059,377,134,204,132
-8.298645,41.458655,285,87,177,108
-8.312484,41.460303,42,7,21,18
-8.292197,41.460447,143,32,73,64
-8.402832,41.45939,44,9,27,16
-8.343594,41.459894,95,29,51,33
-8.30694,41.459055,35,8,22,12
-8.345535,41.51125,40,9,21,15
-8.305759,41.509528,11,3,7,4
-8.294638,41.511211,35,5,18,14
-8.245794,41.511852,54,9,33,18
-8.341582,41.512943,32,9,18,12
-8.316737,41.514763,38,8,14,14
-8.299643,41.514958,81,24,46,29
-8.26409,41.511911,8,2,4,3
-8.373159,41.515719,11,4,5,3
-8.351305,41.516863,60,14,35,19
-8.352712,41.414251,82,15,50,32
-8.303862,41.413229,2,0,0,1
-8.304764,41.413988,59,18,31,19
-8.322793,41.412968,124,16,77,50
-8.353159,41.415635,84,17,49,32
-8.279509,41.414463,29,12,16,10
-8.307212,41.41563,74,16,36,32
-8.270541,41.413764,64,11,36,24
-8.351033,41.415843,84,21,52,31
-8.288376,41.414593,81,16,52,31
-8.307899,41.416003,39,7,25,18
-8.336445,41.411209,0,0,0,0
-8.356998,41.414624,34,12,17,12
-8.349482,41.416307,58,14,40,18
-8.365619,41.41522,32,7,16,10
-8.283184,41.415671,45,16,22,16
-8.32116,41.416182,52,10,33,17
-8.266846,41.448707,50,15,28,15
-8.279237,41.450718,379,127,231,138
-8.264863,41.450143,57,14,35,21
-8.259629,41.449102,70,18,44,25
-8.25938,41.449116,121,27,82,45
-8.262473,41.449568,138,38,83,51
-8.308511,41.44941,33,7,19,13
-8.286436,41.450841,73,11,44,33
-8.279069,41.449437,394,118,244,150
-8.338526,41.450769,59,17,35,24
-8.307583,41.451265,0,0,0,0
-8.314298,41.450556,115,40,62,35
-8.346186,41.450539,6,0,5,3
-8.279609,41.451443,311,87,176,116
-8.27779,41.451457,544,180,331,201
-8.388821,41.445967,80,18,46,28
-8.314145,41.5365,0,0,0,0
-8.300486,41.429953,192,32,55,33
-8.31502,41.430046,70,12,38,27
-8.2467,41.429502,68,16,36,22
-8.319433,41.430076,37,11,21,12
-8.306272,41.431546,40,8,20,16
-8.230925,41.428937,45,7,28,17
-8.309491,41.430941,87,17,46,31
-8.302681,41.431646,46,7,18,20
-8.355103,41.430975,43,8,23,23
-8.381487,41.430959,36,3,23,15
-8.338971,41.428818,0,0,0,0
-8.357355,41.43124,91,33,46,27
-8.278635,41.447011,19,7,11,6
-8.342266,41.448135,55,7,28,24
-8.294999,41.44905,178,45,94,78
-8.25537,41.457333,100,25,60,34
-8.264528,41.458816,67,23,39,23
-8.293398,41.458044,120,24,60,50
-8.268556,41.45921,30,6,15,11
-8.287693,41.458965,167,34,88,71
-8.311596,41.45916,77,10,43,33
-8.285894,41.460302,174,51,92,61
-8.317299,41.459185,123,28,73,47
-8.248021,41.459743,56,16,35,22
-8.283015,41.459658,95,20,59,41
-8.314053,41.459896,217,39,119,92
-8.25156,41.459902,77,21,47,27
-8.349925,41.489743,173,38,97,68
-8.373329,41.489596,7,1,5,4
-8.337772,41.490251,149,45,94,51
-8.34877,41.49105,398,141,253,138
-8.338698,41.491195,47,13,26,18
-8.345495,41.491482,51,4,26,21
-8.317971,41.490878,67,16,38,26
-8.340614,41.490488,172,36,96,60
-8.34719,41.491239,124,33,76,46
-8.311674,41.490459,36,11,20,11
-8.261266,41.458364,64,22,37,20
-8.328387,41.45872,46,12,29,14
-8.323051,41.459015,38,14,21,11
-8.267053,41.460877,56,13,38,21
-8.343045,41.460912,32,5,13,13
-8.345717,41.459157,66,10,26,28
-8.308138,41.515825,89,30,50,29
-8.35452,41.515734,145,32,91,50
-8.344128,41.515587,8,2,6,3
-8.388896,41.511334,0,0,0,0
-8.355846,41.516876,196,62,114,61
-8.334772,41.516488,37,9,22,12
-8.298627,41.517337,37,8,24,13
-8.379483,41.515497,58,14,31,19
-8.357013,41.518492,79,23,35,30
-8.337051,41.519497,58,10,34,18
-8.342299,41.518757,1,0,1,1
-8.360916,41.517801,63,17,40,19
-8.340249,41.519966,40,14,17,15
-8.365636,41.517516,36,6,19,14
-8.358837,41.472765,33,6,19,11
-8.369013,41.470775,6,2,3,2
-8.300753,41.472547,37,8,22,15
-8.393113,41.472314,43,11,22,16
-8.317931,41.472274,91,30,51,30
-8.3063,41.53934,0,0,0,0
-8.22531,41.542474,35,8,19,13
-8.218224,41.544516,5,0,4,3
-8.22328,41.544602,36,13,19,12
-8.226396,41.54652,19,5,10,7
-8.220232,41.546935,29,8,16,8
-8.214223,41.546195,14,0,5,6
-8.221776,41.547964,19,5,7,7
-8.211063,41.548252,10,1,5,5
-8.219768,41.549846,16,6,10,6
-8.221867,41.549731,9,1,6,3
-8.227429,41.549073,0,0,0,0
-8.230911,41.548385,20,5,15,7
-8.227338,41.550201,21,2,12,8
-8.22467,41.550958,18,2,10,8
-8.217087,41.550212,46,9,24,20
-8.221799,41.550959,22,5,8,9
-8.213933,41.551203,16,2,4,7
-8.2186,41.551903,15,3,9,6
-8.303606,41.431158,119,21,62,50
-8.306376,41.431944,65,9,26,29
-8.304717,41.431856,119,24,61,47
-8.358974,41.431607,99,19,57,40
-8.286826,41.430586,62,23,30,20
-8.297654,41.431825,79,12,34,31
-8.286106,41.433203,62,16,38,22
-8.300739,41.433135,75,21,50,28
-8.288419,41.433821,53,11,30,21
-8.299177,41.434379,138,47,85,54
-8.294611,41.435875,177,33,99,81
-8.292754,41.435648,361,107,199,140
-8.29357,41.433396,121,37,68,43
-8.29099,41.436246,323,53,158,143
-8.293825,41.437668,224,32,122,97
-8.297449,41.437544,82,15,37,38
-8.298141,41.439673,50,14,27,24
-8.260309,41.441387,12,0,12,5
-8.302084,41.442583,184,31,73,82
-8.302088,41.443123,81,6,33,39
-8.343397,41.460552,37,9,21,13
-8.300364,41.4588,198,49,127,81
-8.268837,41.461024,157,53,100,58
-8.267988,41.46096,40,10,23,12
-8.262825,41.460242,36,10,23,12
-8.312201,41.461427,51,7,25,22
-8.342101,41.459758,73,18,50,24
-8.399822,41.459726,35,9,22,12
-8.346782,41.461374,46,11,19,19
-8.344551,41.461263,91,16,40,39
-8.290145,41.46132,196,48,123,72
-8.308447,41.460798,127,31,65,49
-8.343879,41.462015,42,13,25,12
-8.258854,41.460558,39,8,23,16
-8.298688,41.461397,85,12,48,35
-8.352181,41.462194,13,2,10,4
-8.318156,41.461416,70,20,36,23
-8.349841,41.462323,48,10,25,17
-8.311481,41.461793,69,12,38,30
-8.347571,41.462199,51,15,34,18
-8.353538,41.462545,22,8,13,6
-8.321471,41.511661,91,21,58,30
-8.351199,41.515628,55,18,26,17
-8.302851,41.514261,3,1,2,1
-8.368661,41.51466,33,8,20,12
-8.331842,41.460358,66,14,41,29
-8.254528,41.461042,82,23,49,26
-8.314154,41.46195,36,6,25,13
-8.28772,41.461801,65,18,34,21
-8.396463,41.458936,36,6,21,16
-8.353256,41.519204,99,29,58,32
-8.346416,41.519396,6,2,2,2
-8.265685,41.516033,0,0,0,0
-8.284992,41.514692,5,2,2,2
-8.359713,41.520663,23,4,12,9
-8.356776,41.52063,38,7,21,20
-8.344514,41.521133,62,25,35,21
-8.324438,41.380225,73,16,37,29
-8.327797,41.379992,83,11,44,31
-8.321625,41.380701,61,9,39,25
-8.387143,41.379347,122,29,74,41
-8.278827,41.457227,30,4,16,9
-8.276699,41.45697,70,13,38,28
-8.288749,41.456513,84,15,42,35
-8.29278,41.456742,67,13,34,26
-8.335333,41.455598,76,18,49,26
-8.276554,41.45689,41,7,20,16
-8.290174,41.45714,84,25,45,27
-8.278281,41.457611,25,1,10,12
-8.252036,41.456601,68,20,39,23
-8.278608,41.457735,59,5,27,26
-8.278939,41.457203,119,19,55,58
-8.282207,41.45742,194,40,118,78
-8.351583,41.473396,38,7,26,12
-8.338275,41.474076,109,22,55,40
-8.330862,41.473365,16,5,7,5
-8.33544,41.474444,59,11,35,21
-8.224738,41.473743,17,3,11,5
-8.256152,41.475292,52,6,34,24
-8.327212,41.473408,50,13,26,19
-8.340006,41.474968,42,7,15,17
-8.362902,41.474231,16,3,10,5
-8.357913,41.474066,63,23,30,22
-8.302609,41.474625,15,2,11,6
-8.25508,41.474225,178,57,106,57
-8.336142,41.477041,156,37,99,54
-8.221862,41.476349,36,13,21,12
-8.349097,41.474145,19,4,11,7
-8.407138,41.444363,36,2,14,18
-8.311236,41.443166,134,33,70,46
-8.2958,41.443388,64,12,34,32
-8.255186,41.442819,84,24,50,25
-8.294841,41.443486,49,7,30,25
-8.30348,41.444169,169,27,76,71
-8.321075,41.444044,70,28,42,22
-8.332611,41.442118,15,2,11,8
-8.345511,41.443525,76,20,41,25
-8.293211,41.443979,24,1,12,16
-8.28309,41.441789,298,98,176,101
-8.366883,41.441348,58,14,40,16
-8.301368,41.444122,305,53,147,138
-8.358088,41.442474,17,7,8,6
-8.296301,41.444486,42,8,22,21
-8.280903,41.443712,198,56,123,77
-8.244743,41.444432,21,5,7,9
-8.376206,41.442772,53,16,29,19
-8.295941,41.460869,60,6,40,23
-8.28402,41.461945,62,19,34,24
-8.351073,41.462409,57,15,30,21
-8.270994,41.460436,198,64,129,67
-8.278023,41.460395,27,6,17,11
-8.349152,41.462576,54,9,29,24
-8.323155,41.461846,6,2,2,1
-8.353016,41.463065,22,2,13,9
-8.31031,41.46274,62,5,28,26
-8.343549,41.462838,56,11,31,18
-8.35084,41.463171,35,3,22,12
-8.263257,41.462947,20,5,13,7
-8.352579,41.463449,17,4,9,6
-8.338221,41.460174,85,19,52,31
-8.328228,41.462728,44,12,25,16
-8.328684,41.517373,36,5,19,17
-8.313288,41.517571,50,14,32,15
-8.273268,41.453527,77,12,36,32
-8.244925,41.450659,19,5,8,7
-8.266011,41.453812,109,18,57,46
-8.29726,41.454775,78,7,46,32
-8.251876,41.453873,65,20,37,20
-8.287039,41.457721,84,11,43,39
-8.238061,41.466575,10,1,6,5
-8.259199,41.468011,13,1,7,4
-8.375498,41.467117,92,24,54,33
-8.381404,41.468092,25,3,14,11
-8.404728,41.465708,44,4,22,18
-8.268665,41.474286,20,2,8,11
-8.273443,41.473013,73,14,42,24
-8.322974,41.474047,63,17,39,21
